raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation,driver_wins_cum,driver_races_cum,driver_win_rate,position_numeric,driver_recent_form,constructor_wins_cum,constructor_races_cum,constructor_win_rate,constructor_recent_points,location_id,constructor_id_enc,driver_id_enc,regulation_change
2023_2,2023,2,tsunoda,AlphaTauri,16.0,11.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,TSU,0,1,0.0,11.0,11.0,0,2,0.0,0.0,4,1,23,0
2023_2,2023,2,hulkenberg,Haas F1 Team,10.0,12.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,HUL,0,1,0.0,12.0,15.0,0,3,0.0,0.3333333333333333,4,5,9,0
2023_2,2023,2,zhou,Alfa Romeo,11.0,13.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,ZHO,0,1,0.0,13.0,16.0,0,2,0.0,2.0,4,0,24,0
2023_2,2023,2,de_vries,AlphaTauri,18.0,14.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,DEV,0,1,0.0,14.0,14.0,0,3,0.0,0.0,4,1,5,0
2023_2,2023,2,piastri,McLaren,8.0,15.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,PIA,0,1,0.0,15.0,20.0,0,2,0.0,0.0,4,7,17,0
2023_2,2023,2,sargeant,Williams,20.0,16.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,SAR,0,1,0.0,16.0,12.0,0,2,0.0,0.5,4,11,21,0
2023_2,2023,2,norris,McLaren,19.0,17.0,0.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,NOR,0,1,0.0,17.0,17.0,0,3,0.0,0.0,4,7,14,0
2023_2,2023,2,bottas,Alfa Romeo,14.0,18.0,0.0,Lapped,0,Saudi Arabian Grand Prix,Jeddah,BOT,0,1,0.0,18.0,8.0,0,3,0.0,1.3333333333333333,4,0,3,0
2023_2,2023,2,albon,Williams,17.0,19.0,0.0,Retired,0,Saudi Arabian Grand Prix,Jeddah,ALB,0,1,0.0,19.0,10.0,0,3,0.0,0.3333333333333333,4,11,0,0
2023_2,2023,2,stroll,Aston Martin,5.0,20.0,0.0,Retired,0,Saudi Arabian Grand Prix,Jeddah,STR,0,1,0.0,20.0,6.0,0,3,0.0,12.666666666666666,4,3,22,0
2023_3,2023,3,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Australian Grand Prix,Melbourne,VER,1,2,0.5,1.0,1.5,2,4,0.5,20.666666666666668,7,10,13,0
2023_3,2023,3,hamilton,Mercedes,3.0,2.0,18.0,Finished,0,Australian Grand Prix,Melbourne,HAM,0,2,0.0,2.0,5.0,0,4,0.0,9.333333333333334,7,8,8,0
2023_3,2023,3,alonso,Aston Martin,4.0,3.0,15.0,Finished,0,Australian Grand Prix,Melbourne,ALO,0,2,0.0,3.0,3.0,0,4,0.0,7.666666666666667,7,3,1,0
2023_3,2023,3,stroll,Aston Martin,6.0,4.0,12.0,Finished,0,Australian Grand Prix,Melbourne,STR,0,2,0.0,4.0,13.0,0,5,0.0,10.0,7,3,22,0
2023_3,2023,3,perez,Red Bull Racing,20.0,5.0,11.0,Finished,0,Australian Grand Prix,Melbourne,PER,1,2,0.5,5.0,1.5,3,5,0.6,23.0,7,10,16,0
2023_3,2023,3,norris,McLaren,13.0,6.0,8.0,Finished,0,Australian Grand Prix,Melbourne,NOR,0,2,0.0,6.0,17.0,0,4,0.0,0.0,7,7,14,0
2023_3,2023,3,hulkenberg,Haas F1 Team,10.0,7.0,6.0,Finished,0,Australian Grand Prix,Melbourne,HUL,0,2,0.0,7.0,13.5,0,4,0.0,0.3333333333333333,7,5,9,0
2023_3,2023,3,piastri,McLaren,16.0,8.0,4.0,Finished,0,Australian Grand Prix,Melbourne,PIA,0,2,0.0,8.0,17.5,0,5,0.0,2.6666666666666665,7,7,17,0
2023_3,2023,3,zhou,Alfa Romeo,17.0,9.0,2.0,Finished,0,Australian Grand Prix,Melbourne,ZHO,0,2,0.0,9.0,14.5,0,4,0.0,0.0,7,0,24,0
2023_3,2023,3,tsunoda,AlphaTauri,12.0,10.0,1.0,Finished,0,Australian Grand Prix,Melbourne,TSU,0,2,0.0,10.0,11.0,0,4,0.0,0.0,7,1,23,0
2023_3,2023,3,bottas,Alfa Romeo,19.0,11.0,0.0,Finished,0,Australian Grand Prix,Melbourne,BOT,0,2,0.0,11.0,13.0,0,5,0.0,0.6666666666666666,7,0,3,0
2023_3,2023,3,sainz,Ferrari,5.0,12.0,0.0,Finished,0,Australian Grand Prix,Melbourne,SAI,0,2,0.0,12.0,5.0,0,4,0.0,4.666666666666667,7,4,20,0
2023_3,2023,3,gasly,Alpine,9.0,13.0,0.0,Retired,0,Australian Grand Prix,Melbourne,GAS,0,2,0.0,13.0,9.0,0,4,0.0,2.0,7,2,7,0
2023_3,2023,3,ocon,Alpine,11.0,14.0,0.0,Retired,0,Australian Grand Prix,Melbourne,OCO,0,2,0.0,14.0,13.0,0,5,0.0,2.0,7,2,15,0
