raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation
2023_3,2023,3,bottas,Alfa Romeo,19.0,11.0,0.0,Finished,0,Australian Grand Prix,Melbourne,BOT
2023_3,2023,3,sainz,Ferrari,5.0,12.0,0.0,Finished,0,Australian Grand Prix,Melbourne,SAI
2023_3,2023,3,gasly,Alpine,9.0,13.0,0.0,Retired,0,Australian Grand Prix,Melbourne,GAS
2023_3,2023,3,ocon,Alpine,11.0,14.0,0.0,Retired,0,Australian Grand Prix,Melbourne,OCO
2023_3,2023,3,de_vries,AlphaTauri,15.0,15.0,0.0,Retired,0,Australian Grand Prix,Melbourne,DEV
2023_3,2023,3,sargeant,Williams,18.0,16.0,0.0,Retired,0,Australian Grand Prix,Melbourne,SAR
2023_3,2023,3,kevin_magnussen,Haas F1 Team,14.0,17.0,0.0,Retired,0,Australian Grand Prix,Melbourne,MAG
2023_3,2023,3,russell,Mercedes,2.0,18.0,0.0,Retired,0,Australian Grand Prix,Melbourne,RUS
2023_3,2023,3,albon,Williams,8.0,19.0,0.0,Retired,0,Australian Grand Prix,Melbourne,ALB
2023_3,2023,3,leclerc,Ferrari,7.0,20.0,0.0,Retired,0,Australian Grand Prix,Melbourne,LEC
2023_5,2023,5,max_verstappen,Red Bull Racing,9.0,1.0,26.0,Finished,1,Miami Grand Prix,Miami,VER
2023_5,2023,5,perez,Red Bull Racing,1.0,2.0,18.0,Finished,0,Miami Grand Prix,Miami,PER
2023_5,2023,5,alonso,Aston Martin,2.0,3.0,15.0,Finished,0,Miami Grand Prix,Miami,ALO
2023_5,2023,5,russell,Mercedes,6.0,4.0,12.0,Finished,0,Miami Grand Prix,Miami,RUS
2023_5,2023,5,sainz,Ferrari,3.0,5.0,10.0,Finished,0,Miami Grand Prix,Miami,SAI
2023_5,2023,5,hamilton,Mercedes,13.0,6.0,8.0,Finished,0,Miami Grand Prix,Miami,HAM
2023_5,2023,5,leclerc,Ferrari,7.0,7.0,6.0,Finished,0,Miami Grand Prix,Miami,LEC
2023_5,2023,5,gasly,Alpine,5.0,8.0,4.0,Finished,0,Miami Grand Prix,Miami,GAS
2023_5,2023,5,ocon,Alpine,8.0,9.0,2.0,Finished,0,Miami Grand Prix,Miami,OCO
2023_5,2023,5,kevin_magnussen,Haas F1 Team,4.0,10.0,1.0,Finished,0,Miami Grand Prix,Miami,MAG
